iter	RMSE
0	3820.457856
1	3646.959345
2	3487.262783
3	3332.627685
4	3185.403582
5	3045.729842
6	2912.716018
7	2787.080083
8	2670.164239
9	2556.466223
10	2449.15731
111	2344.884766112	2247.761249113	2156.669315114	2079.070686115	2000.026194116	1920.712464
17	1846.210155118	1774.030384119	1707.152877220	1644.134476221	1583.770234
22	1526.963844
23	1472.210263
24	1420.73707
25	1372.402368
26	1324.900081
27	1280.488649
28	1239.444715
29	1201.237931
30	1164.219015
31	1130.521497
32	1097.912654
33	1066.857277
34	1037.753572
35	1012.101185
36	986.6763456
37	962.6584573
38	939.4421162
39	917.7387736
40	898.061178
41	879.5846874
42	861.5050965
43	845.2431965
44	828.7564034
45	813.7195397
46	799.1960519
47	786.4055294848	773.7088454949	761.8328375050	750.7148735151	740.3160325252	729.8569255353	720.8017829
54	712.4596685
55	704.6602974
56	697.1041735
57	689.7935972
58	682.8195259
59	676.0881207
60	670.083455
61	664.3324537
62	658.5470024
63	653.1737519
64	648.2682427
65	643.798555
66	639.4258273
67	635.0380766
68	631.1582592
69	627.2849748
70	624.0948279
71	620.560694
72	617.0309996
73	613.8827167
74	610.8967582
75	608.4322052
76	606.0223372
77	603.3940496
78	600.9648782
79	598.7638837
80	596.6797133
81	594.553615
82	592.5642302
83	590.672827
84	588.8733182
85	586.8295588
86	585.0312069
87	583.4048656
88	581.9774919
89	580.1692728
90	578.8227791
91	577.190967
92	575.7880041
93	574.6292638
94	573.2074796
95	572.100166
96	570.7060201
97	569.484637
98	568.2511886
99	566.9411232
100	565.6135617
101	564.3722774
102	563.4335921
103	562.6090271
104	561.5870169
105	560.8954738
106	559.9902897
107	559.1584962
108	558.4712578
109	557.4788529
110	556.632967
111	555.7084988
112	554.9913408
113	554.1978435
114	553.3262453
115	552.6637958
116	551.9557772
117	551.2458776
118	550.6645072
119	550.02793
120	549.3395478
121	548.6949508
122	548.0248266
123	547.2262852
124	546.6327295
125	545.872709
126	545.3479144
127	544.7836366
128	544.1319072
129	543.5730429
130	543.0103437
131	542.2972344
132	541.4095863
133	541.0100413
134	540.2076835
135	539.6842059
136	538.8523415
137	538.5037784
138	538.0333889
139	537.5118376
140	536.8809214
141	536.3697938
142	535.9537443
143	535.5750214
144	535.2700951
145	534.9795405
146	534.4397721
147	533.8366236
148	533.412654
149	532.7517249
150	532.1544426
151	531.7314468
152	531.4381261
153	531.0815945
154	530.6284435
155	530.0707155
156	529.7048589
157	529.3459016
158	528.8864908
159	528.543093
160	528.1670257
161	527.8956834
162	527.3391326
163	527.1173476
164	526.8134332
165	526.1579406
166	525.5987098
167	525.2670362
168	524.8599796
169	524.5600229
170	524.2174237
171	523.8651492
172	523.5487184
173	522.9940905
174	522.6808034
175	522.1187517
176	521.8413276
177	521.3551428
178	520.9450893
179	520.5565995
180	520.3116297
181	519.9624682
182	519.6441737
183	519.3592743
184	518.9003772
185	518.5415525
186	518.21765
187	517.9626314
188	517.6748081
189	517.4034084
190	517.1651889
191	516.7403821
192	516.2737123
193	515.6194965
194	515.4142001
195	515.2054651
196	514.8428744
197	514.5704082
198	514.3103652
199	513.9010366
200	513.7737202
201	513.5100965
202	513.4832831
203	512.9941483
204	512.6243772
205	512.3261252
206	512.0076697
207	511.5986755
208	511.1843724
209	510.9506948
210	510.6303512
211	510.3851047
212	509.8863996
213	509.7037224
214	509.3883894
215	509.0068864
216	508.845218
217	508.7106651
218	508.5145545
219	508.3067166
220	507.8045366
221	507.5647402
222	507.3391244
223	506.9432553
224	506.77846842225	506.5719329226	503.1217318
2227	506.354439228	502.787099
229	502.5199934
230	502.3926351
231	502.1631485
232	502.0194853
233	501.6120107
234	501.3131813
235	501.1058113
236	501.0200504
237	500.5971611
238	500.4948089
239	500.3457841
240	500.0227148
241	499.6983254
242	499.5266357
243	499.0774653
244	498.7790399
245	498.345247
246	498.09556
247	497.8207874
248	497.5440197
249	497.3676658
250	496.8253611
251	496.5537467
252	496.3751392
253	495.932009
254	495.4706714
255	495.3619065
256	495.1646922
257	495.007277
258	494.9287423
259	494.7470132
260	494.6055865
261	494.4597732
262	494.2321567
263	493.9940422
264	493.7261288
265	493.4110793
266	493.1903696
267	492.8440097
268	492.6791471
269	492.5486001
270	492.4487456
271	492.3169863
272	492.0691028
273	491.7993958
274	491.4179489
275	491.2648733
276	490.8430654
277	490.7457498
278	490.5082323
279	490.2897512
280	490.1286994
281	489.8373088
282	489.4593847
283	489.361204
284	489.098782
285	488.84979
286	488.4230199
287	488.2755364
288	488.1075316
289	487.9772043
290	487.9264256
291	487.7586037
292	487.5913567
293	487.3363104
294	486.9332658
295	486.7015687
296	486.5380575
297	486.329671
298	486.1652572
299	486.0064051
300	485.7618856
301	485.5522778
302	485.3632867
303	485.0191513
304	484.8595365
305	484.3993987
306	484.1238941
307	483.933163
308	483.4959386
309	483.1450208
310	482.7978376
311	482.6362136
312	482.4848645
313	482.4207641
314	482.2076084
315	482.0369868
316	481.9009312
317	481.7369786
318	481.5731175
319	481.4275796
320	481.18738
321	481.0477924
322	480.8974763
323	480.8760379
324	480.7490162
325	480.6127808
326	480.45689
327	480.2851888
328	479.8028451
329	479.6314897
330	479.2653105
331	478.9855439
332	478.8696812
333	478.4231689
334	478.0938594
335	477.8693221
336	477.4534612
337	477.4362533
338	477.2155233
339	477.0391974
340	476.8963309
341	476.6564523
342	476.5592246
343	476.4644275
344	476.0747514
345	475.9569211
346	475.7076648
347	475.3489636
348	475.3247358
349	475.0376571
350	474.9896205
351	474.7908775
352	474.4759915
353	474.189132
354	474.0359464
355	473.8716423
356	473.6259758
357	473.4181239
358	473.184271
359	473.0455101
360	472.8252846
361	472.5075336
362	472.1971424
363	471.832551
364	471.7512856
365	471.6299397
366	471.509331
367	471.3373728
368	471.1578779
369	470.8861191
370	470.6567304
371	470.4396586
372	470.2684205
373	470.170219
374	469.8539622
375	469.7029038
376	469.664445
377	469.6253604
378	469.3813418
379	469.1367687
380	468.8673409
381	468.6934987
382	468.3931648
383	468.2778951
384	468.2277565
385	468.1093599
386	467.8846758
387	467.6384237
388	467.5106531
389	467.4959294
390	467.4458715
391	467.4307954
392	467.2805565
393	467.0598041
394	466.8987373
395	466.5520576
396	466.5051919
397	466.4713912
398	466.4038297
399	466.2963101
400	466.2470432
401	465.9776028
402	465.70382
403	465.5453062
404	465.3532382
405	465.1941015
406	465.0032412
407	464.9853265
408	464.8298815
409	464.6449759
410	464.4708684
411	464.2541525
412	463.9667255
413	463.8386327
414	463.826377
415	463.5635649
416	463.5037569
417	463.174846
418	463.0441874
419	462.8564366
420	462.7164783
421	462.5998477
422	462.5246213
423	462.4122052
424	462.2428506
425	461.9818026
426	461.8846384
427	461.6650496
428	461.4945449
429	461.35224
430	461.1503717
431	461.0062386
432	460.7750957
433	460.7369586
434	460.6303589
435	460.3977514
436	460.1683181
437	459.9886876
438	459.8495366
439	459.6903441
440	459.6331706
441	459.5486555
442	459.384147
443	459.1472188
444	458.9677802
445	458.8788166
446	458.7660887
447	458.6371355
448	458.4200461
449	458.3331537
450	458.1198267
451	457.986867
452	457.8169434
453	457.5401391
454	457.4291688
455	457.1998189
456	457.1542281
457	456.8736693
458	456.8386819
459	456.5257509
460	456.4189973
461	456.0853497
462	455.8124352
463	455.4731169
464	455.430391
465	455.3526543
466	455.1903609
467	455.1337801
468	454.973629
469	454.8238776
470	454.7453856
471	454.6022933
472	454.4896776
473	454.2182942
474	454.0660155
475	453.8070457
476	453.5902201
477	453.4250366
478	453.2311762
479	453.0125789
480	452.7532001
481	452.6235124
482	452.4658658
483	452.3237636
484	452.2249273
485	452.0494789
486	451.9304447
487	451.8071323
488	451.7031395
489	451.5872839
490	451.5524601
491	451.322066
