iter	Passed	Remaining
0	155	155030
1	174	87081
2	190	63398
3	211	52612
4	241	47984
5	269	44649
6	295	41856
7	320	39788
8	342	37717
9	368	36461
10	391	35170
11	406	33489
12	430	32688
13	460	32451
14	487	31995
15	511	31447
16	541	31330
17	589	32145
18	627	32392
19	666	32648
20	707	32984
21	743	33071
22	780	33175
23	818	33267
24	852	33248
25	889	33333
26	931	33573
27	974	33816
28	1012	33894
29	1058	34239
30	1092	34149
31	1130	34206
32	1167	34225
33	1203	34182
34	1233	34013
35	1270	34029
36	1306	34004
37	1342	33992
38	1375	33904
39	1407	33790
40	1443	33762
41	1481	33791
42	1514	33708
43	1548	33634
44	1585	33653
45	1623	33678
46	1666	33788
47	1691	33554848	1729	33554949	1766	33565050	1799	33495151	1839	33535252	1884	33675353	1926	33741
54	1959	33666
55	1998	33682
56	2037	33710
57	2084	33857
58	2128	33941
59	2162	33872
60	2203	33923
61	2239	33886
62	2287	34025
63	2320	33939
64	2367	34062
65	2412	34146
66	2449	34107
67	2486	34076
68	2522	34034
69	2555	33947
70	2593	33933
71	2627	33859
72	2662	33812
73	2695	33730
74	2739	33788
75	2782	33830
76	2823	33849
77	2863	33845
78	2902	33834
79	2942	33840
80	2973	33737
81	3010	33701
82	3047	33666
83	3081	33599
84	3112	33501
85	3148	33457
86	3186	33443
87	3222	33391
88	3261	33387
89	3289	33258
90	3334	33308
91	3383	33392
92	3418	33337
93	3457	33321
94	3487	33227
95	3525	33197
96	3558	33123
97	3594	33085
98	3635	33083
99	3672	33053
100	3713	33050
101	3751	33032
102	3781	32928
103	3813	32857
104	3846	32782
105	3886	32775
106	3925	32761
107	3962	32724
108	3996	32670
109	4039	32682
110	4076	32649
111	4106	32555
112	4138	32489
113	4177	32465
114	4217	32457
115	4257	32448
116	4300	32456
117	4342	32455
118	4378	32417
119	4414	32370
120	4444	32286
121	4477	32221
122	4514	32186
123	4546	32117
124	4576	32035
125	4611	31985
126	4643	31919
127	4691	31961
128	4725	31908
129	4768	31909
130	4806	31884
131	4843	31852
132	4889	31872
133	4915	31767
134	4952	31735
135	4991	31707
136	5029	31679
137	5069	31668
138	5106	31628
139	5139	31569
140	5171	31507
141	5204	31445
142	5234	31368
143	5262	31279
144	5305	31285
145	5338	31227
146	5376	31199
147	5412	31161
148	5456	31162
149	5496	31144
150	5529	31087
151	5566	31054
152	5604	31026
153	5636	30961
154	5670	30912
155	5708	30885
156	5750	30877
157	5789	30852
158	5828	30828
159	5863	30785
160	5903	30761
161	5936	30709
162	5975	30686
163	6007	30625
164	6046	30600
165	6082	30556
166	6112	30487
167	6144	30430
168	6178	30380
169	6220	30370
170	6257	30336
171	6293	30297
172	6322	30221
173	6354	30165
174	6385	30101
175	6415	30036
176	6448	29985
177	6483	29940
178	6521	29911
179	6565	29908
180	6602	29875
181	6635	29825
182	6670	29778
183	6701	29721
184	6738	29686
185	6776	29658
186	6815	29630
187	6843	29556
188	6874	29500
189	6910	29459
190	6949	29436
191	6981	29380
192	7023	29368
193	7059	29328
194	7095	29293
195	7130	29250
196	7164	29201
197	7199	29161
198	7230	29103
199	7270	29083
200	7303	29031
201	7334	28974
202	7364	28914
203	7396	28860
204	7428	28808
205	7455	28737
206	7485	28676
207	7527	28662
208	7561	28618
209	7593	28566
210	7624	28509
211	7650	28435
212	7674	28356
213	7703	28295
214	7735	28243
215	7767	28191
216	7792	28118
217	7823	28065
218	7854	280219219	7888	279220220	7921	27922
221	7948	278222222	7975	277223223	8005	277224224	8032	276225225	8064	276226	8097	27574
227227	8119	274228	8149	27437
229	8185	27403
230	8218	27358
231	8260	27344
232	8294	27303
233	8342	27310
234	8386	27300
235	8434	27304
236	8467	27260
237	8514	27259
238	8548	27217
239	8586	27191
240	8621	27152
241	8660	27126
242	8702	27110
243	8731	27054
244	8762	27001
245	8800	26974
246	8840	26950
247	8872	26903
248	8906	26863
249	8946	26840
250	8979	26794
251	9006	26733
252	9035	26679
253	9071	26643
254	9105	26601
255	9133	26543
256	9175	26526
257	9216	26505
258	9248	26459
259	9284	26424
260	9310	26363
261	9338	26304
262	9365	26244
263	9394	26190
264	9420	26128
265	9450	26077
266	9472	26005
267	9496	25937
268	9525	25886
269	9557	25841
270	9582	25778
271	9604	25707
272	9637	25665
273	9659	25593
274	9679	25518
275	9698	25440
276	9724	25382
277	9750	25322
278	9776	25264
279	9809	25224
280	9840	25179
281	9886	25173
282	9932	25165
283	9968	25132
284	10004	25099
285	10044	25076
286	10079	25040
287	10119	25018
288	10166	25011
289	10210	24998
290	10239	24948
291	10285	24938
292	10323	24909
293	10352	24860
294	10386	24822
295	10409	24757
296	10432	24693
297	10454	24628
298	10474	24557
299	10505	24512
300	10542	24481
301	10573	24437
302	10593	24367
303	10619	24312
304	10641	24248
305	10659	24174
306	10686	24123
307	10708	24058
308	10729	23994
309	10756	23942
